sim_id,utid,uid,experiment,sign,trial_name,judgement,judgement_accuracy,judgement_to_MAP,judgement_to_weighted_MAP,part_theta,part_indirect_errors,theta,sigma,internal_state,decay_rate,ground_truth,map_graph,accuracy,map_graph_weighted,accuracy_weighted,model_indirect_errors,theta_MAP,sigma_MAP,theta_MAP_weighted,sigma_MAP_weighted,converged,0->1,0->2,1->0,1->2,2->0,2->1,theta_H,sigma_H,num_indirect_links,indirect_links_loc
3-611231e33c2e4198943389a9-pos_chain_2-generic_1-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-611231e33c2e4198943389a9-pos_chain_2-generic_1,,3,neg,chain,[-1.   1.   0.  -1.   0.   0.5],0.808258753,0.889903623487364,0.889903623,0.5,1,0.5,3,LC_discrete_att_&_att,0,[-1  0  0 -1  0  0],[-1.   0.5  0.  -1.   0.   0. ],0.914250707,[-1.   0.5 -0.  -1.  -0.   0. ],0.914250707,1,,,,,,5.89e-20,1.97e-11,2.32e-06,2.88e-07,3.72e-05,0.002579332,,,1,[False  True False False False False]
3-61169988cf61a1a4c41fdf9c-crime_0-congruent-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-61169988cf61a1a4c41fdf9c-crime_0-congruent,,3,,crime,[-0.5  0.5  0.5 -0.5 -0.5  0.5],0.813228158,0.8367006838144548,0.836700684,0.5,4,0.5,3,LC_discrete_att_&_att,0,[-1.   0.5  0.5 -1.  -0.5 -0.5],[-1.   1.   1.  -0.5 -0.5  0. ],0.84750143,[-1.   1.   1.  -0.5 -0.5  0. ],0.84750143,4,,,,,,3.64e-93,6.919999999999999e-89,1.63e-50,2.3e-64,6.14e-145,1.73e-124,,,6,[ True  True  True  True  True  True]
3-61169988cf61a1a4c41fdf9c-dampened_1-generic_0-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-61169988cf61a1a4c41fdf9c-dampened_1-generic_0,,3,,dampened,[-1.  -0.5  0.   1.   0.   0. ],0.667818081,0.6286093236458963,0.628609324,0.5,1,0.5,3,LC_discrete_att_&_att,0,[ 1.  -0.5  0.   1.   0.   0. ],[1.  0.5 0.  1.  0.  0. ],0.83390904,[ 1.   0.5 -0.   1.   0.   0. ],0.83390904,1,,,,,,1.18e-261,9.460000000000001e-26,3.8700000000000005e-70,2.53e-101,2.02e-53,5.1999999999999995e-40,,,1,[False  True False False False False]
3-61169988cf61a1a4c41fdf9c-finance_0-incongruent-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-61169988cf61a1a4c41fdf9c-finance_0-incongruent,,3,,finance,[ 0.  -0.5 -0.5  0.5  0.5  0. ],0.813010602,0.8769085090206673,0.876908509,0.5,1,0.5,3,LC_discrete_att_&_att,0,[ 0.  -1.  -0.5 -0.5  0.5  0. ],[ 0.  -1.  -0.5  0.   0.5  0. ],0.916375799,[ 0.  -1.  -0.5  0.   0.5  0. ],0.916375799,1,,,,,,2.07e-102,1.35e-100,2.74e-149,2.26e-140,7.84e-82,3.9700000000000003e-103,,,2,[False False  True  True False False]
3-61169988cf61a1a4c41fdf9c-pos_chain_3-generic_1-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-61169988cf61a1a4c41fdf9c-pos_chain_3-generic_1,,3,pos,chain,[ 0.5  0.5  0.  -0.5  0.   0. ],0.715601771,0.7148670257438995,0.714867026,0.5,1,0.5,3,LC_discrete_att_&_att,0,[1 0 0 1 0 0],[1.  0.5 0.  1.  0.  0. ],0.914250707,[ 1.   0.5 -0.   1.  -0.  -0. ],0.914250707,1,,,,,,7.56e-78,2.11e-22,7.499999999999999e-175,2.47e-165,1.73e-87,6.03e-74,,,1,[False  True False False False False]
3-611ab1da8239817bc8d5f1e1-crime_0-congruent-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-611ab1da8239817bc8d5f1e1-crime_0-congruent,,3,,crime,[-1.  -0.5  1.  -0.5 -0.5 -1. ],0.748567324,0.7137008328430658,0.713700833,0.5,2,0.5,3,LC_discrete_att_&_att,0,[-1.  -0.5  1.  -1.   0.   0.5],[-1.   0.   1.  -1.   0.5  0.5],0.892788747,[-1.  -0.   1.  -1.   0.5  0.5],0.892788747,2,,,,,,4.29e-42,5.16e-32,5.15e-64,4.21e-102,4.1100000000000003e-122,7.61e-204,,,4,[ True  True False  True  True False]
3-611ab1da8239817bc8d5f1e1-dampened_1-generic_0-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-611ab1da8239817bc8d5f1e1-dampened_1-generic_0,,3,,dampened,[1.  0.5 0.  0.5 0.  0. ],0.814304662,0.8778305556436947,0.877830556,0.5,1,0.5,3,LC_discrete_att_&_att,0,[ 1.  -0.5  0.   1.   0.   0. ],[1. 0. 0. 1. 0. 0.],0.91695452,[ 1.  0. -0.  1. -0. -0.],0.91695452,1,,,,,,4.3900000000000003e-72,4.98e-72,3.8900000000000004e-132,1.56e-149,2.66e-100,6.37e-61,,,1,[False  True False False False False]
3-611ab1da8239817bc8d5f1e1-finance_0-incongruent-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-611ab1da8239817bc8d5f1e1-finance_0-incongruent,,3,,finance,[ 0.  -1.  -0.5 -0.5  0.   0. ],0.825922344,0.8068331476784361,0.806833148,0.5,2,0.5,3,LC_discrete_att_&_att,0,[ 0.  -1.  -0.5 -1.   1.   0. ],[ 0.  -1.  -1.  -0.5  1.   0. ],0.889903623,[-0.  -1.  -1.  -0.5  1.  -0. ],0.889903623,2,,,,,,2.63e-157,2.56e-175,6.26e-118,1.62e-42,1.02e-49,3.53e-40,,,2,[False False  True  True False False]
3-611ab1da8239817bc8d5f1e1-pos_chain_2-generic_1-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-611ab1da8239817bc8d5f1e1-pos_chain_2-generic_1,,3,neg,chain,[-1.   0.5  0.   0.5  0.   0. ],0.728836928,0.740839472325592,0.740839472,0.5,1,0.5,3,LC_discrete_att_&_att,0,[-1  0  0 -1  0  0],[-1.   0.5  0.  -1.   0.   0. ],0.914250707,[-1.   0.5 -0.  -1.   0.  -0. ],0.914250707,1,,,,,,2.12e-82,1.5e-38,3.01e-59,6.38e-71,5.07e-184,2.38e-191,,,1,[False  True False False False False]
3-611e58f3b7cfe10fe9eef3df-crime_0-congruent-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-611e58f3b7cfe10fe9eef3df-crime_0-congruent,,3,,crime,[ 0.   0.   0.5  0.  -0.5  0. ],0.724759059,0.5607023148930206,0.86753352,0.5,1,0.5,3,LC_discrete_att_&_att,0,[ 0.5  0.5 -0.5  0.   0.5  0. ],[-1. -1. -1. -1.  0.  0.],0.573598567,[-0.   -0.   -0.   -0.    0.    0.01],0.82591364,1,,,,,,2.321928095,2.321928095,2.321928095,2.321928095,0.086080949,0.199038063,,,2,[False False False  True False  True]
