sim_id,utid,uid,experiment,sign,trial_name,judgement,judgement_accuracy,judgement_to_MAP,judgement_to_weighted_MAP,part_theta,part_indirect_errors,theta,sigma,internal_state,ground_truth,map_graph,accuracy,map_graph_weighted,accuracy_weighted,model_indirect_errors,theta_MAP,sigma_MAP,theta_MAP_weighted,sigma_MAP_weighted,converged,0->1,0->2,1->0,1->2,2->0,2->1,theta_H,sigma_H,num_indirect_links,indirect_links_loc
2-5f75cc1fb0741626d6634281-estate_3-incongruent-es_0.5_3.0-is_normative_&_1_,2-5f75cc1fb0741626d6634281-estate_3-incongruent,,2,,estate,[ 0.5  0.5 -0.5 -0.5 -0.5  0.5],0.876908509,0.8845299461620748,0.884529946,0.5,0,0.5,3,normative_&_403,[ 0.   0.5 -0.5  0.  -0.5  0.5],[ 0.   0.5 -0.5  0.  -0.5  0.5],1.0,[-0.   0.5 -0.5  0.  -0.5  0.5],1.0,0,,,,,,3.0199999999999997e-199,3.0199999999999998e-170,2.52e-102,9.34e-156,6.26e-63,4.92e-118,,,3,[ True False False  True  True False]
2-5f75cc1fb0741626d6634281-finance_3-implausible-es_0.5_3.0-is_normative_&_1_,2-5f75cc1fb0741626d6634281-finance_3-implausible,,2,,finance,[ 0.5  0.5  0.5 -0.5 -0.5 -0.5],0.593861534,0.560303134724236,0.560303135,0.5,1,0.5,3,normative_&_404,[-1.  -1.  -1.  -1.   0.5 -0.5],[-1.  -1.  -1.  -1.   0.  -0.5],0.928204184,[-1.  -1.  -1.  -1.   0.  -0.5],0.928204184,1,,,,,,1.96e-286,7.18e-133,1.8999999999999999e-165,7.18e-133,1.88e-06,1.9500000000000003e-200,,,6,[ True  True  True  True  True  True]
2-5f7728b294840b203855824d-confound_2-generic_0-es_0.5_3.0-is_normative_&_1_,2-5f7728b294840b203855824d-confound_2-generic_0,,2,pos,confound,[-0.5  0.   0.5 -0.5  0.   0. ],0.628609324,0.5582738957006139,0.571586401,0.5,0,0.5,3,normative_&_405,[1.  0.5 0.  1.  0.  0. ],[ 1.   0.5 -0.5  1.   0.5  0. ],0.882555956,[ 1.    0.5  -0.37  1.    0.37  0.  ],0.913091408,0,,,,,,1.6e-16,2.73e-10,0.820430953,1.6e-16,0.820430953,1.6e-16,,,1,[False  True False False False False]
2-5f7728b294840b203855824d-crime_2-incongruent-es_0.5_3.0-is_normative_&_1_,2-5f7728b294840b203855824d-crime_2-incongruent,,2,,crime,[ 0.  -0.5 -0.5  0.5  0.   0. ],0.655679363,0.5675744342448066,0.567574434,0.5,0,0.5,3,normative_&_406,[-1.  -1.   1.  -0.5 -0.5 -1. ],[-1.  -1.   1.  -0.5 -0.5 -1. ],1.0,[-1.  -1.   1.  -0.5 -0.5 -1. ],1.0,0,,,,,,5.54e-19,5.080000000000001e-208,1.16e-37,3.24e-154,0.0,5.54e-19,,,5,[ True  True False  True  True  True]
2-5f7728b294840b203855824d-estate_2-congruent-es_0.5_3.0-is_normative_&_1_,2-5f7728b294840b203855824d-estate_2-congruent,,2,,estate,[-0.5  1.   1.   0.5  1.   0. ],0.864335311,0.8483803912842194,0.848380391,0.5,0,0.5,3,normative_&_407,[-0.5  0.5  1.   0.   1.   0.5],[-0.5  0.5  0.5  0.   1.   0.5],0.921673955,[-0.5  0.5  0.5 -0.   1.   0.5],0.921673955,0,,,,,,2.08e-11,0.0,1.6e-06,1.15e-39,7.03e-234,2.08e-11,,,3,[ True False False  True False  True]
2-5f7728b294840b203855824d-finance_2-implausible-es_0.5_3.0-is_normative_&_1_,2-5f7728b294840b203855824d-finance_2-implausible,,2,,finance,[ 0.   0.5 -0.5  0.  -0.5  0.5],0.622035527,0.5394338135281617,0.539433814,0.5,0,0.5,3,normative_&_408,[ 1  0 -1 -1  1 -1],[ 1.  0. -1. -1.  1. -1.],1.0,[ 1. -0. -1. -1.  1. -1.],1.0,0,,,,,,3.32e-11,8.32e-155,4.17e-76,4.61e-125,2.9399999999999997e-104,3.32e-11,,,3,[False  True  True False False  True]
2-5f91ad02439b5e04b51d69a0-crime_3-congruent-es_0.5_3.0-is_normative_&_1_,2-5f91ad02439b5e04b51d69a0-crime_3-congruent,,2,,crime,[ 0.5 -0.5  0.5 -0.5 -0.5 -0.5],0.885292133,0.8845299461620748,0.884529946,0.5,0,0.5,3,normative_&_409,[ 0.5  0.   0.5 -1.  -0.5 -0.5],[ 0.5  0.   0.5 -1.  -0.5 -0.5],1.0,[ 0.5  0.   0.5 -1.  -0.5 -0.5],1.0,0,,,,,,7.04e-153,6.63e-56,2.33e-142,1.32e-13,7.47e-98,7.51e-128,,,4,[False  True  True False  True  True]
2-5f91ad02439b5e04b51d69a0-estate_3-incongruent-es_0.5_3.0-is_normative_&_1_,2-5f91ad02439b5e04b51d69a0-estate_3-incongruent,,2,,estate,[-0.5  1.   0.5  1.   0.5 -0.5],0.722649902,0.7358647281023128,0.735864728,0.5,0,0.5,3,normative_&_410,[-0.5  1.   0.  -0.5  0.5  0. ],[-0.5  0.5  0.  -0.5  0.5  0. ],0.916375799,[-0.5  0.5 -0.  -0.5  0.5  0. ],0.916375799,0,,,,,,1.67e-86,4.88e-75,1.3300000000000001e-130,1.7e-83,1.3300000000000001e-130,1.67e-86,,,2,[False False  True False False  True]
2-5f91ad02439b5e04b51d69a0-finance_3-implausible-es_0.5_3.0-is_normative_&_1_,2-5f91ad02439b5e04b51d69a0-finance_3-implausible,,2,,finance,[ 0.5  0.5  0.5 -0.5  0.5  0.5],0.663082334,0.6258342613226059,0.625834261,0.5,0,0.5,3,normative_&_411,[ 1.  -1.  -1.  -0.5  1.   0. ],[ 1.  -1.  -1.  -0.5  1.   0. ],1.0,[ 1.  -1.  -1.  -0.5  1.   0. ],1.0,0,,,,,,0.0,2.2999999999999997e-152,2.38e-232,1.49e-192,2.38e-232,3.4699999999999997e-238,,,4,[False  True  True  True False  True]
2-5f91ad02439b5e04b51d69a0-pos_chain_1-generic_0-es_0.5_3.0-is_normative_&_1_,2-5f91ad02439b5e04b51d69a0-pos_chain_1-generic_0,,2,pos,chain,[0.5 0.5 0.  0.5 0.  0. ],0.851477869,0.8438262381113939,0.843826238,0.5,0,0.5,3,normative_&_412,[1 0 0 1 0 0],[1. 0. 0. 1. 0. 0.],1.0,[1. 0. 0. 1. 0. 0.],1.0,0,,,,,,7.74e-219,7.73e-149,3.8e-178,7.73e-149,0.0,0.0,,,1,[False  True False False False False]
